Code
ACA
AGS
ALB
ABQ
AMM
AMS
ANC
ANU
AUA
ATH
ATL
AUS
BDL
BER
BDA
BHM
BIL
BIS
BOG
BOI
BOM
BOS
BKK
BUR
BTM
BWI
BZE
BCN
BRU
BUF
BUD
BZN
CAE
CAI
CCS
CDC
CDG
CHA
CHS
CLE
CLT
CMH
COS
CPH
CPR
CUN
CVG
CZM
DAB
DAL
DAY
DCA
DEN
DFW
DLH
DSM
DSS
DTW
DUB
DUS
DXB
EGE
ELP
EWR
EYW
EZE
FAI
FAR
FAT
FCA
FCO
FLL
FNT
FRA
FSD
GCM
GDL
GEG
GIG
GPT
GRB
GRR
GRU
GSP
GTF
GUA
GUC
GUM
HDN
HKG
HLN
HNL
HOU
HSV
IAD
IAH
IDA
IND
IST
JAC
JAN
JAX
JFK
JNB
KIX
KOA
KWI
LAS
LAX
LEX
LGA
LGB
LGW
LHR
LIH
LIM
LIR
LIT
LOS
MAD
MAN
MBJ
MCI
MCO
MDW
MEM
MEX
MFR
MHT
MIA
MKE
MLB
MNL
MSN
MSO
MSP
MSY
MTJ
MUC
MXP
MYR
MZT
NAS
NCE
NGO
NRT
OAK
OGG
OMA
ONT
ORD
ORF
PBI
PDX
PEK
PHL
PHX
PIT
PNS
PRG
PSC
PSP
PTY
PVD
PVR
RAP
RDU
RIC
RNO
ROC
RSW
SAN
SAT
SAV
SCL
SDF
SEA
SFO
SGU
SIN
SJC
SJD
SJO
SJU
SLC
SMF
SNA
SNN
SPN
SRQ
STL
STR
STT
SUN
SVO
SYD
TLH
TLV
TPA
TPE
TUS
TYS
UVF
VCE
YEG
YUL
YVR
YWG
YYC
ZRH
BNA
