IataCode,AirportName,CityName,CountryName,Source
SUN,Friedman Memorial Airport,Hailey,United States,OpenFlights
SVO,Sheremetyevo International Airport,Moscow,Russia,OpenFlights
SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,OpenFlights
TLH,Tallahassee Regional Airport,Tallahassee,United States,OpenFlights
TLV,Ben Gurion International Airport,Tel-aviv,Israel,OpenFlights
TPA,Tampa International Airport,Tampa,United States,OpenFlights
TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,OpenFlights
TUS,Tucson International Airport,Tucson,United States,OpenFlights
TYS,McGhee Tyson Airport,Knoxville,United States,OpenFlights
UVF,Hewanorra International Airport,Hewandorra,Saint Lucia,OpenFlights
VCE,Venice Marco Polo Airport,Venice,Italy,OpenFlights
YEG,Edmonton International Airport,Edmonton,Canada,OpenFlights
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,OpenFlights
YVR,Vancouver International Airport,Vancouver,Canada,OpenFlights
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,OpenFlights
YYC,Calgary International Airport,Calgary,Canada,OpenFlights
ZRH,Zürich Airport,Zurich,Switzerland,OpenFlights
